Gene,Inheritance
PAX3,AD
PAX4,AD
PAX5,AR
PAX6,AD
PBX1,AD
PCARE,AR
PCBD1,AR
PCCA,AR
PCCB,AR
PCDH15,AR
PCGF2,AD
PCNT,AR
PCSK6,UD
PCSK9,AD
PCYT1A,AR
PDGFD,AD
PDGFRA,AD
PDGFRA,AD
PDHA1,XL
PDHB,AR
PDHX,AR
PDK3,XL
PDLIM3,AD
PDSS2,AR
PDX1,AD
PDX1,AR
PET100,AR
PET117,AR
PEX10,AR
PEX11A,AR
PEX11B,AR
PEX11G,AR
PEX12,AR
PEX13,AR
PEX14,AR
PEX16,AR
PEX2,AR
PEX26,AR
PEX3,AR
PEX5,AR
PEX6,AR
PEX7,AR
PFN1,AD
PGM1,AR
PHF21A,AD
PHF6,XL
PHF8,XL
PHIP,AD
PHKB,AR
PHKG2,AR
PHOX2B,AD
PHOX2B,AD
PHYH,AR
PIBF1,AR
PIDD1,AR
PIEZO1,AD
PIEZO1,AR
PIGF,AR
PIGL,AR
PIGO,AR
PIGP,AR
PIGU,AR
PIK3CA,AD
PIK3CA,AD
PIK3CD,AR
PIK3CD,AD
PIK3CG,AR
PIK3R1,AR
PIK3R2,AD
PINK1,AR
PJVK,AR
PKD1,AR
PKHD1,AR
PKLR,AR
PKP2,AD
PKP2,AD
PKP2,AD
PLA2G6,AR
PLAT,AD
PLCB1,AR
PLCB4,AD
PLCB4,AR
PLCE1,AR
PLEKHG5,AR
PLEKHM1,AD
PLEKHM1,AR
PLEKHM2,AR
PLG,AR
PLN,AD
PLN,AD
PLP1,XL
PMM2,AR
PMM2,AR
PMP2,AD
PMP22,AD
PMP22,AD
PMPCA,AR
PMS1,AD
PMS2,AD
PMS2,AD
PNKP,AR
PNPLA2,AR
PNPLA6,AR
PNPO,AR
PNPT1,AR
POGZ,AD
POLD1,AR
POLD1,AD
POLD2,AR
POLE,AD
POLG,AR
POLH,AR
POLR1C,AR
POLR3A,AR
POR,AR
PORCN,XL
POU2AF1,AR
POU3F3,AD
POU3F4,XL
POU4F3,AD
PPARG,SD
PPM1D,AD
PPOX,SD
PPP1R12A,AD
PPP1R21,AR
PPP2R1A,AD
PQBP1,XL
PRDM16,AD
PRF1,AR
PRG4,AR
PRICKLE1,AD
PRICKLE1,AR
PRICKLE2,AD
PRKACG,AR
PRKAG2,AD
PRKAR1A,AD
PRKCSH,AD
PRKD1,AD
PRKD1,AR
PRKDC,AR
PRKN,AR
PROC,SD
PRODH,AR
PROK2,SD
PROKR2,AD
PROX1,AD
PRPF31,AD
PRPF4,AD
PRPH,AD
PRPS1,XL
PRPS1,XL
PRR12,AD
PRRT2,AD
PRSS1,AD
PRSS12,AR
PRX,AR
PSAP,AR
PSAP,AR
PSAP,AR
PSAP,AR
PSEN1,AD
PSEN2,AD
PSMD12,AD
PTCD3,AR
PTCH1,AD
PTCH2,AD
PTCHD1,XL
PTEN,AD
PTGS1,SD
PTPRC,AR
PTPRJ,AD
PUF60,AD
PURA,AD
PUS1,AR
PXDN,AR
PYCR1,AR
PYGL,AR
PYROXD1,AR
QARS1,AR
QDPR,AR
QRICH1,AD
RAB18,AR
RAB23,AR
RAB28,AR
RAB3GAP1,AR
RAB3GAP2,AR
RAB40AL,XL
RAB7A,AD
RAC1,AD
RAC2,AR
RAC2,AD
RAC2,AD
RAD21,AD
RAD50,AD
RAD50,AD
RAD51C,AD
RAD51C,AR
RAD51D,AD
RAG1,AR
RAG2,AR
RAI1,AD
RAI2,AD
RALA,AD
RANBP2,AD
RANBP2,AD
RAP1B,AD
RARB,AD
RARS2,AR
RASGRP2,AR
RB1,AD
RBFOX2,AD
RBM20,AD
RBM20,AD
RBM8A,AR
RCBTB1,AR
RD3,AR
RDH12,AR
RDH5,AR
RDX,AR
RECQL,AD
RECQL4,AR
REEP6,AR
REL,AR
RELA,AD
RELB,AR
RELN,AR
REN,AR
REN,AD
RERE,AD
RET,AD
RET,AD
RETREG1,AR
RFC1,AR
RFT1,AR
RFX3,AD
RFX5,AR
RFX6,AD
RFXANK,AR
RFXAP,AR
RGS9,AR
RHBDF2,AD
RHOBTB2,AD
RHOBTB2,AR
RHOH,AR
RIN2,AR
RINT1,AD
RIPOR2,AD
RLBP1,AR
RMND1,AR
RMRP,AR
RNASEH1,AR
RNASEH2A,AR
RNASEH2C,AR
RNF168,AR
RNF40,AD
RNF43,AD
RNU4ATAC,AR
ROBO1,AR
ROBO1,AD
ROBO3,AR
ROCK2,AD
ROGDI,AR
RP1,SD
RP1,AR
RP2,XL
RPE65,AR
RPE65,AD
RPGR,XL
RPGRIP1L,AR
RPL5,AD
RPS19,AD
RPS20,AD
RPS6KA3,XL
RPS6KB1,AD
RS1,XL
RSPH1,AR
RSPH3,AR
RSPH4A,AR
RTTN,AR
RUNX1,AD
RXYLT1,AR
RYR1,AD
RYR1,AR
RYR1,AD
RYR2,AD
RYR2,AD
RYR3,AR
SAMHD1,AR
SARS1,AR
SARS2,AR
SATB1,AD
SATB2,AD
SBF2,AR
SCARB2,AR
SCN11A,AD
SCN1A,AD
SCN1B,AD
SCN1B,AR
SCN2A,AD
SCN3A,AD
SCN4A,AR
SCN4B,AD
SCN5A,AD
SCN5A,AD
SCN5A,AD
SCN5A,AD
SCN5A,AD
SCN8A,AD
SCNN1A,AR
SCNN1G,AD
SCO1,AR
SCO2,AR
SDCCAG8,AR
SDHA,AD
SDHA,AR
SDHAF1,AR
SDHAF1,AR
SDHAF2,AD
SDHB,AR
SDHB,AD
SDHC,AD
SDHC,UD
SDHD,AR
SDHD,AD
SEC23B,AR
SEC61A1,AD
SEC61B,AD
SEC63,AD
SELENON,AR
SEMA4A,AD
SEPTIN9,AD
SERAC1,AR
SERPINC1,SD
SERPIND1,AD
SERPINF2,AR
SERPING1,AD
SERPINI1,AD
SET,AD
SETBP1,AD
SETBP1,AD
SETD1B,AD
SETD2,AD
SETD2,AD
SETD5,AD
SETX,AD
SF3B4,AD
SFTPA2,AD
SFTPB,AR
SFXN4,AR
SGCD,AD
SGSH,AR
SH3KBP1,XL
SH3PXD2B,AR
SH3TC2,AR
SHANK1,AD
SHANK2,AD
SHANK3,AD
SHROOM4,XL
SIL1,AR
SIN3A,AD
SIX1,AD
SIX5,AD
SKIC2,AR
SKIC3,AR
SLC12A5,AR
SLC12A7,UD
SLC16A2,XL
SLC17A5,AR
SLC18A2,AR
SLC19A3,AR
SLC1A2,AD
SLC1A3,AD
SLC1A4,AR
SLC22A5,AR
SLC22A5,AR
SLC24A1,AR
SLC25A1,AR
SLC25A10,AR
SLC25A12,AR
SLC25A13,AR
SLC25A19,AR
SLC25A20,AR
SLC25A22,AR
SLC25A26,AR
SLC25A3,AR
SLC25A4,AD
SLC25A46,AR
SLC25A46,AR
SLC26A2,AR
SLC26A2,AR
SLC26A2,AR
SLC26A4,AR
SLC29A3,AR
SLC2A1,AD
SLC2A10,AR
SLC34A1,AR
SLC34A1,AR
SLC35A2,XL
SLC38A8,AR
SLC38A9,UD
SLC39A7,AR
SLC39A8,AR
SLC41A1,AR
SLC4A3,AD
SLC5A7,AD
SLC6A19,AR
SLC6A3,AR
SLC6A6,AR
SLC7A5,AR
SLC7A7,AR
SLC9A6,XL
SLC9A9,AD
SLFN14,AD
SLITRK6,AR
SLX4,AD
SLX4,AR
SMAD1,AD
SMAD1,AD
SMAD2,AD
SMAD4,AD
SMAD4,AD
SMAD4,AD
SMAD7,AD
SMAD9,AD
SMARCA1,XL
SMARCA2,AD
SMARCA4,AD
SMARCA4,AD
SMARCAL1,AR
SMARCB1,AD
SMARCC1,AD
SMARCC2,AD
SMARCE1,AD
SMC3,AD
SMCHD1,AD
SMG8,AR
SMO,AR
SMPX,XL
SMS,XL
SNAI1,AD
SNAP25,AD
SNCA,AD
SNRNP200,AD
SNTA1,AD
SNX10,AR
SNX14,AR
SOBP,AR
SOD1,AD
SORD,AR
SOX10,AD
SOX17,AD
SOX3,XL
SOX5,AD
SOX6,AD
SOX7,AD
SOX9,AD
SOX9,AD
SP110,AR
SPAG1,AR
SPART,AR
SPATA13,AD
SPATA7,AR
SPEG,AR
SPEN,AD
SPG11,AR
SPR,AR
SPRED1,AD
SPTBN1,AD
SPTBN4,AR
SPTLC2,AD
SPTLC2,AD
SQOR,AR
SQSTM1,AD
SRCAP,AD
SRD5A3,AR
SRF,AD
SS18L1,AD
SSBP1,AD
SSBP1,AD
ST3GAL3,AR
ST3GAL5,AR
STAG1,AD
STAT1,AR
STAT1,AD
STAT3,AD
STAT3,AD
STAT6,AD
STIL,AR
STIM1,AD
STK11,AD
STK4,AR
STRC,AR
STX11,AR
STX1B,AD
STXBP2,AR
SUCLA2,AR
SUCLG1,AR
SUFU,AD
SUFU,AR
SUOX,AR
SURF1,AR
SYNE4,AR
SYNGAP1,AD
SYNJ1,AR
SYP,XL
SYT2,AD
SZT2,AR
TACO1,AR
TAF15,AD
TAFAZZIN,XL
TANC2,AD
TAOK1,AD
TAP1,AR
TAP2,AR
TAPBP,AR
TARDBP,AD
TARS2,AR
TBC1D24,AR
TBC1D8B,XL
TBCK,AR
TBK1,AD
TBL1XR1,AD
TBR1,AD
TBX20,AD
TBX20,AD
TBX4,AD
TBX5,AD
TBXA2R,AD
TBXAS1,AR
TCAP,AD
TCAP,AD
TCF12,AD
TCF20,AD
TCF21,UD
TCF3,SD
TCF4,AD
TCF7L2,AD
TCIRG1,AR
TCIRG1,AR
TCOF1,AD
TCTN2,AR
TCTN3,AR
TECRL,AR
TECTA,AR
TECTA,AD
TEK,AD
TELO2,AR
TERC,AD
TERT,SD
TET3,AR
TET3,AD
TFE3,XL
TGFB1,AR
TGFB3,AD
TGFBR1,AD
TGFBR1,AD
TGFBR2,AD
THAP11,AR
THBD,AD
THOC6,AR
THPO,SD
TIA1,AD
TIMM50,AR
TIMM8A,XL
TIMMDC1,AR
TIMP3,AD
TJP1,AD
TK2,AR
TLL1,AD
TMC1,AD
TMEM126B,AR
TMEM127,AD
TMEM132E,AR
TMEM138,AR
TMEM216,AR
TMEM231,AR
TMEM237,AR
TMEM43,AD
TMEM67,AR
TMEM70,AR
TMEM94,AR
TMIE,AR
TMLHE,XL
TMPRSS3,AR
TNFRSF13B,AR
TNFRSF13C,AR
TNFRSF4,AR
TNFSF12,AD
TNFSF13,AR
TNNC1,AD
TNNC1,AD
TNNC1,AD
TNNC2,AD
TNNI3,AD
TNNI3,AD
TNNI3,AD
TNNI3K,AD
TNNT1,AR
TNNT2,AD
TNNT2,AD
TNNT2,AD
TNRC6B,AD
TOP2B,AD
TOPBP1,AD
TP53BP2,AD
TP73,AR
TPK1,AR
TPM1,AD
TPM1,AD
TPM1,AD
TPM2,AD
TPM3,AD
TPM3,AR
TPP1,AR
TPRN,AR
TRAC,AR
TRAF3,AD
TRAF7,AD
TRAPPC4,AR
TRAPPC9,AR
TRDN,AR
TRDN,AR
TREX1,AR
TRIM37,AR
TRIM44,AD
TRIM8,AD
TRIO,AD
TRIP11,AR
TRIP12,AD
TRIT1,AR
TRMT10C,AR
TRMT5,AR
TRMU,AR
TRNT1,AR
TRPM1,AR
TRPM3,AD
TRPM7,AD
TRPV4,AD
TRPV4,AD
TRRAP,AD
TSC1,AD
TSC2,AD
TSFM,AR
TSFM,AR
TSPAN7,XL
TTC19,AR
TTC21B,AR
TTC7A,AR
TTN,AD
TTN,AD
TTN,AD
TTN,AD
TTR,AD
TUBA1A,AD
TUBA4A,AD
TUBA8,AR
TUBB1,AD
TUBB2A,AD
TUBB2B,AD
TUBB3,AD
TUBB4A,AD
TUBG1,AD
TUBGCP6,AR
TUFM,AR
TULP3,AR
TWIST1,AD
TWIST1,AD
TWIST1,AD
TXNL4A,AR
TYMP,AR
TYR,AR
UBA2,AD
UBE2A,XL
UBE3A,AD
UBE3B,AR
UBQLN2,XL
UBTF,AD
UGDH,AD
UMOD,AD
UNC13A,UD
UNC13D,AR
UNC80,AR
UNG,AR
UPK3A,AD
UQCRC2,AR
UQCRQ,AR
UROD,SD
UROS,AR
USH1C,AR
USH1G,AR
USP27X,XL
USP34,AD
USP7,AD
USP9X,XL
VAPB,AD
VARS1,AR
VARS2,AR
VCAN,AD
VCL,AD
VCL,AD
VCP,AD
VEGFA,AD
VHL,AD
VIPAS39,AR
VKORC1,AR
VLDLR,AR
VPS13B,AR
VPS13D,AR
VPS33A,AR
VPS33B,AR
VPS35,AD
VWF,AD
VWF,AD
WAC,AD
WARS1,AD
WARS2,AR
WAS,XL
WAS,XL
WASHC5,AR
WBP2,AR
WDFY3,AD
WDR19,AR
WDR26,AD
WDR36,AD
WDR5,AD
WDR62,AR
WDR72,AR
WFS1,AD
WFS1,AR
WIPF1,AR
WNK1,AR
WNT10A,SD
WRN,AR
WT1,AD
WT1,AD
WWOX,AR
XPA,AR
XPC,AR
XRCC2,AR
XRCC2,AD
YARS1,AD
YIF1B,AR
ZAP70,AR
ZBTB18,AD
ZBTB20,AD
ZC3H14,AR
ZC4H2,XL
ZCCHC8,AD
ZDHHC15,XL
ZDHHC9,XL
ZEB2,AD
ZFPM1,AD
ZFYVE27,AD
ZIC1,AD
ZMIZ1,AD
ZMPSTE24,AR
ZMPSTE24,AR
ZMYND10,AR
ZMYND11,AD
ZNF143,AR
ZNF341,AR
ZNF41,XL
ZNF462,AD
ZNF674,XL
SLC39A13,AR
SLC39A4,AR
GDAP2,AR
PIGB,AR
CYB5A,AR
CYB5R3,AR
ACTA2,AD
ALMS1,AR
ANK2,AD
ATF6,AR
BAG3,AD
BGN,AD
C1QB,AR
CACNA1C,AD
CACNA2D1,AD
CACNB2,AD
CDH1,AD
CDH23,AR
CDKN1B,AR
CEP78,AR
CHD1L,AD
CHEK1,AD
CHEK1,AD
CHEK2,AD
CLRN1,AR
COL2A1,AD
COL9A1,AR
CTNNA1,AD
DNMT1,AD
EPHX1,AD
FAN1,AD
FBN1,AD
FBN2,AD
FLNA,XL
FOXE3,AD
GALNT12,AD
GEN1,AD
GPD1L,AD
HCN4,AD
KCNA2,AD
KCND3,AD
KCNE3,AD
KCNE5,AD
KCNH2,AD
KCNJ8,AD
LAMB1,AR
LOX,AD
LRTOMT,AR
MAT2A,AD
MCPH1,AD
MCPH1,AD
MFAP5,AD
MYH11,AD
MYL2,AD
MYLK,AD
MYO9A,AR
NF1,AD
NFKBIZ,AD
NHP2,AR
NOTCH1,AD
OTOF,AR
PCDH15,AR
PDZD7,AR
PIK3CA,AD
PKP2,AD
PRKG1,AD
PSD3,AD
PTPRQ,AR
RANGRF,AD
RECQL,AD
RINT1,AD
RPS10,AD
RPS24,AD
S1PR2,AR
SCN10A,AD
SCN1B,AD
SCN2B,AD
SCN3B,AD
SCN5A,AD
SLC25A4,AR
SLMAP,AD
SLX4,AD
SMAD3,AD
SMAD3,AD
SMARCA4,AD
STK11,AD
TGFB2,AD
TGFB3,AD
TGFBR1,AD
TGFBR2,AD
TMC1,AR
TMPO,AD
TRIOBP,AR
TRPM4,AD
USH1C,AR
USH1G,AR
USH2A,AR
VPS8,AR
WHRN,AR
WRAP53,AR
XRCC2,AD
XRCC4,AD
COG5,AR
CLDN16,AR
DAAM2,AR
SFTPC,AD
PTPRJ,AR
KDM3B,AD
FANCM,AD
ATM,AD
BLM,AD
SLC35D1,AR
COG6,AR
STAT1,AD
MED12,XL
A2ML1,AD
AASS,AR
ACTN2,AD
ACVRL1,AD
AGPS,AR
ALDH4A1,AR
ALDH6A1,AR
ALDH7A1,AR
ALG13,XL
ALK,AD
AMT,AR
AP3D1,AR
APOB,AD
ARG1,AR
ARHGEF6,XL
ARX,XL
ASL,AR
ASNS,AR
ASS1,AR
AUH,AR
BCKDK,AR
BDP1,AR
BRAF,AD
BRAF,AD
BRAF,AD
BRAF,AD
BRCA1,AR
BTD,AR
CA5A,AR
CACNB2,AD
CACNB4,AD
CBS,AR
CEACAM16,AD
CHD8,AD
CNTNAP2,AD
COL11A2,AD
COL11A2,AR
COL4A6,XL
CPS1,AR
DCDC2,AR
DEPDC5,AD
DIABLO,AD
DMGDH,AR
DSP,AD
EDN3,AR
EDNRB,AD
ELMOD3,AR
ENG,AD
ETFB,AR
FAH,AR
FH,AD
FLAD1,AR
FOLR1,AR
FOXI1,AR
GAMT,AR
GATA2,AD
GATM,AR
GCDH,AR
GJA1,AD
GLDC,AR
GNAO1,AD
GNMT,AR
GNPAT,AR
GRHL2,AD
GRIA3,XL
GRIN1,AR
GRIN2D,AD
GRXCR2,AR
GSS,AR
HGD,AR
HNF1A,AD
HNF1B,AD
HOMER2,AD
HOXA1,AR
HPD,AR
HRAS,AD
HRAS,AD
ITGA2B,AR
ITGB3,AR
KCNQ1,AD
KLF10,AD
KLF11,AD
KRAS,AD
KRAS,AD
KRAS,AD
LZTR1,AD
MAP2K1,AD
MAP2K1,AD
MAP2K1,AD
MAP2K1,AD
MAP2K2,AD
MAP2K2,AD
MAT1A,AR
MBD5,AD
MET,AR
MIR96,AD
MMACHC,AR
MMUT,AR
MRAS,AD
MSRB3,AR
MYH14,AD
MYLK2,AD
MYO18B,AR
MYOM1,AD
MYOZ2,AD
NADK2,AR
NAGS,AR
NARS2,AR
NBN,AR
NEXN,AD
NF1,AD
NLGN3,XL
NLGN4X,XL
NRAS,AD
NRAS,AD
NRAS,AD
NRAS,AD
NSDHL,XL
OAT,AR
OBSCN,AD
P2RX2,AD
PCDH19,XL
PDLIM3,AD
PEX1,AR
PEX19,AR
PKD1,AD
PMS2,AR
PPP1CB,AD
PRODH2,AR
PSAT1,AR
PTPN11,AD
PTPN11,AD
PTPN11,AD
PTPN11,AD
PTS,AR
RAB39B,XL
RAF1,AD
RAF1,AD
RAF1,AD
RAF1,AD
RASA1,AD
RASA2,AD
RIT1,AD
RRAS,AD
RYR3,AD
SARDH,AR
SBDS,AR
SCN1A,AD
SCN1A,AD
SCN1A,AD
SCN9A,AD
SERPINB6,AR
SHOC2,AD
SHOC2,AD
SHOC2,AD
SHOC2,AD
SLC1A1,AR
SLC25A15,AR
SLC26A2,AR
SLC26A5,AR
SLC3A1,AR
SLC44A4,AD
SLC52A2,AR
SLC52A3,AR
SLC6A4,AD
SLC6A8,XL
SLC7A9,AR
SMC1A,XL
SOS1,AD
SOS1,AD
SOS1,AD
SOS2,AD
SPTAN1,AD
STAC3,AR
STXBP1,AD
TAT,AR
TH,AR
TJP2,AD
TMTC2,AD
TNC,AD
TRIM63,AD
TTN,AD
TUSC3,AR
UPF3B,XL
WDR45,XL
ZNF292,AD
ZNF711,XL
ZNF81,XL
ABCC4,AR
ACADL,AR
ACBD5,AR
ACOX2,AR
ACTB,AD
AHCY,AR
AICDA,AR
AICDA,AD
AIPL1,AR
ANK3,AR
ANO5,AR
AP4E1,AR
ARHGEF9,XL
ARL2BP,AR
ARSL,XL
ATP1A2,AD
ATP6AP1,XL
B4GALT7,AR
BAAT,AR
BBS1,AR
BBS12,AR
BBS2,AR
BBS4,AR
BBS5,AR
BBS7,AR
BIN1,AR
BVES,AR
CACNA1D,AR
CACNA1F,XL
CACNA2D4,AR
CALR3,AD
CAPN3,AD
CAPN3,AR
CCDC32,AR
CCDC50,AD
CCNQ,XL
CD164,AD
CD2AP,AD
CDAN1,AR
CDC14A,AR
CDH1,AD
CHD2,AD
CISD2,AR
CNTN6,AD
COA7,AR
COL11A2,AD
COL11A2,AR
COL2A1,AD
COL9A3,AR
CRPPA,AR
CSTB,AR
CTF1,AD
CTSA,AR
CYS1,AR
DAG1,AR
DHCR7,AR
DHDDS,AR
DIAPH1,AR
DMD,XL
DNAJB11,AD
DNAJB6,AD
DNM1,AD
DYNC2H1,AR
DYSF,AR
DZIP1L,AR
EDNRB,AR
EFEMP1,AD
EFHC1,AD
ELOVL4,AD
EXOC2,AR
F12,AD
FIG4,AR
FKRP,AR
FKTN,AR
FLI1,AD
FLT4,AD
FNIP1,AR
FYB1,AR
FZD4,AD
GABRA1,AD
GAS2L2,AR
GATAD1,AR
GBA1,AR
GBE1,AR
GDI1,XL
GJB3,AD
GLIS2,AR
GLS,AD
GLUL,AR
GMNN,AD
GMPPB,AR
GPHN,AR
GPR143,XL
GSTZ1,AR
GUSB,AR
HAL,AR
HAND2,AD
HGF,AR
HNRNPA2B1,AD
HOXA11,AD
HPD,AD
HRG,AD
IFT140,AD
IFT80,AR
IKZF5,AD
IL11RA,AR
IMPDH1,AD
IMPG1,AD
IMPG1,AR
KCNA1,AD
KDM4B,AD
KIZ,AR
KLHL41,AR
LARS2,AR
LRBA,AR
LRP5,AR
LYST,AR
LZTFL1,AR
LZTR1,AR
MAGI2,AD
MAK,AR
MAP3K20,AR
MAPKBP1,AR
MATR3,AD
MCAT,AR
MED12L,AD
MEIS2,AD
MFF,AR
MKKS,AR
MLH3,AD
MOGS,AR
MPL,AR
MRPS28,AR
MSH3,AR
MYH7,AD
MYO1F,AD
MYO3A,AR
NAGLU,AR
NAT8L,AR
NEK10,AR
NIPBL,AD
NKX2-1,AD
NPC1,AR
NPC2,AR
NSUN2,AR
OGT,XL
OTUD7A,AR
PAX7,AR
PDE6A,AR
PDE6C,AR
PDE6G,AR
PDHX,AR
PGAP3,AR
PHYKPL,AR
PIGA,XL
PIGN,AR
PISD,AR
PKD2,AD
PLA2G4A,AR
PLAU,AD
PLEC,AR
PNPLA6,AR
POGLUT1,AR
POLR2A,AD
POMGNT1,AR
POMGNT2,AR
POMT1,AR
POMT2,AR
POPDC3,AR
PPM1K,AR
PPT1,AR
PROM1,AR
PROS1,SD
PRPF8,AD
PRPH2,SD
PSPH,AR
RAB27A,AR
RDH12,AD
RELN,AD
RIPOR2,AR
RNASEH2B,AR
RNF31,AR
ROR1,AR
RORB,AD
RPL10,XL
RRAS2,AD
RSPH9,AR
RXRA,UD
RYR2,AD
SASH3,XL
SBF1,AR
SERPINE1,AR
SGCA,AR
SGCB,AR
SGCD,AR
SGCG,AR
SHMT2,AR
SIK1,AD
SKI,AD
SLC17A8,AD
SLC36A2,AR
SLC52A1,AD
SNAI2,AR
SON,AD
SOX9,AD
SRC,AD
SRPX2,XL
STK36,AR
SUGCT,AR
SURF1,AR
SYN1,XL
TBC1D24,AD
TCAP,AR
TDO2,AR
TECR,AR
TFAP2B,AD
THBD,AD
THBD,AR
THPO,AD
TIMMDC1,AR
TMEM126A,AR
TMPO,AD
TNFSF11,AR
TNPO3,AD
TOPORS,AD
TP53,AD
TPM4,AD
TRAPPC11,AR
TRAPPC6B,AR
TRIM32,AR
TRIM32,AR
TRIM63,AR
TSHZ1,AD
TSPAN12,SD
TSPEAR,AR
TTC8,AR
TTLL5,AR
TTN,AR
UROC1,AR
USP44,AD
WASHC5,AD
WDPCP,AR
WDR37,AD
WHRN,AR
WNT5A,AD
XPNPEP3,AR
EARS2,AR
MRPS25,AR
PRORP,AR
TRMU,AR
NDUFS7,AR
GNB1,AD
EMX2,AD
NUBPL,AR
COX6A1,AR
COX6A2,AR
COX8A,AR
COX4I1,AR
COX4I2,AR
TTC19,AR
ALAD,AR
TMEM126A,AR
TMEM65,AR
YME1L1,AR
CAVIN1,AR
TBX22,XL
TP63,AD
ALPK3,AD
SLC4A10,AR
POLD1,AD
SELENBP1,AR
GLT8D1,AD
GABRB2,AD
KBTBD13,AD
FA2H,AR
ADGRG1,AR
SPI1,AD
AKT1,AD
MBD4,AR
MDM4,AD
SFTPA1,AD
ESCO2,AR
GBA2,AR
HYOU1,AR
HNRNPDL,AD
TRAF3IP1,AR
CEP104,AR
BCL11B,AD
SMARCB1,AD
ATP5MK,AR
CYCS,AD
NSRP1,AR
TNR,AR
KCNC3,AD
LRPPRC,AR
TACO1,AR
IL2RA,AR
DDOST,AR
GTPBP3,AR
CD70,AR
WDR35,AR
WDR35,AR
FASLG,AR
NFKBIA,AD
ARFGEF2,AR
SCN5A,AD
ZNF423,AR
EIF2B1,AR
C1GALT1C1,XL
PPP2R5D,AD
ASPM,AR
PDCD1,AR
KIAA1549,AR
POC1B,AR
RP9,AD
IFT74,AR
GAS8,AR
SMPD1,AR
SPEF2,AR
SOCS1,AD
TINF2,AD
RHO,SD
PIGW,AR
AIMP1,AR
MYL1,AR
TNNT3,AR
DOK7,AR
CDC14A,AR
SEMA6B,AD
PIGC,AR
DHX30,AD
NDUFAF6,AR
MTRFR,AR
ARPP21,AD
SAT1,XL
SUMF1,AR
PRKCD,AR
IL10,AR
CHD1,AD
DEF6,AR
SGPL1,AR
NEB,AD
GJC2,AR
CNTNAP5,AD
NNT,AR
HYCC1,AR
FBXL4,AR
TET2,AD
PHGDH,AR
LIPT2,AR
TLR7,XL
TLR5,UD
JAK1,AD
PRIMA1,AR
GLUL,AD
ABCC8,AD
FANCM,AR
TFRC,AR
PDE6B,AR
MASTL,AD
TNNT1,AD
NRL,AD
IFT27,AR
TXNDC15,AR
NKX2-5,AD
PIGM,AR
RECQL4,AD
SAMD9,AR
MVK,AR
PRPF3,AD
CD28,AR
CEP164,AR
CHAT,AR
TUBA4A,AD
SLC30A2,AD
SLC30A9,AR
HEPHL1,AR
PIGQ,AR
PYGM,AR
DNAL1,AR
DNAH6,AR
DNAH6,AR
CYP7B1,AR
YME1L1,AR
TTC12,AR
COLGALT1,AR
DRC1,AR
RBFOX3,AD
MGAT2,AR
NAF1,AD
B3GALT6,AR
BLOC1S3,AR
CITED2,AD
MKS1,AR
CDC6,AR
DDX11,AR
KCNK4,AD
EMG1,AR
NSMCE2,AR
ANO5,AD
DYNC2I2,AR
IFT52,AR
GREM2,AD
CD96,AD
CNTN4,AD
PCNA,AR
PIK3R5,AR
KMT2D,AD
ABCC9,AD
NEK8,AD
APOA4,AD
NOTCH2,AD
NEU1,AR
ALG10,AR
FAM20B,AR
NFKB1,AD
BLVRA,AR
USP25,AD
PEPD,AR
ITPR1,AD
ITPR1,AR
TNFRSF9,AR
ANKZF1,UD
ITPR1,AD
DNAH7,AR
DNAH10,AR
DNAH10,AR
ALG8,AD
SIRT1,AD
CIC,AD
PRIM1,AR
RFX7,AD
FANCM,AR
LMX1A,AD
CLXN,AR
CNOT9,AD
HBA1,AR
RASGRP1,AR
FAAH2,XL
ZFX,XL
CDK13,AD
ACO2,SD
